PMID,Publisher,DOI,PMCID
40611782,Mol Pharm,10.1021/acs.molpharmaceut.4c01357,PMC12326358
32751321,Molecules,10.3390/molecules25153455,PMC7435922
35358937,Ultrason Sonochem,10.1016/j.ultsonch.2022.105986,PMC8967728
39000538,Int J Mol Sci,10.3390/ijms25137432,PMC11242280
39135289,J Cosmet Dermatol,10.1111/jocd.16528,PMC11626322
28448475,Molecules,10.3390/molecules22050700,PMC6154611
35630660,Molecules,10.3390/molecules27103183,PMC9144098
37578286,Mol Pharm,10.1021/acs.molpharmaceut.3c00240,PMC10481377
37207857,Int J Pharm,10.1016/j.ijpharm.2023.123055,PMC10429704
33960250,Drug Deliv,10.1080/10717544.2021.1917729,PMC8118403
21725708,AAPS PharmSciTech,10.1208/s12249-011-9653-7,PMC3167257
36843571,Drug Deliv,10.1080/10717544.2023.2183834,PMC9979997
30866422,Mar Drugs,10.3390/md17030156,PMC6470686
36342775,Cannabis Cannabinoid Res,10.1089/can.2022.0176,PMC10874822
26090563,Hum Vaccin Immunother,10.1080/21645515.2015.1046660,PMC4517459
28029115,Int J Mol Sci,10.3390/ijms18010028,PMC5297663
40562287,Int J Pharm,10.1016/j.ijpharm.2025.125890,PMC12646106
20521179,AAPS PharmSciTech,10.1208/s12249-010-9457-1,PMC2902339
40076311,Molecules,10.3390/molecules30051087,PMC11902037
29468287,Cardiovasc Intervent Radiol,10.1007/s00270-018-1899-y,PMC5878128
40863629,Mar Drugs,10.3390/md23080311,PMC12387411
38698863,Front Immunol,10.3389/fimmu.2024.1372349,PMC11063228
37446184,Int J Mol Sci,10.3390/ijms241311008,PMC10342150
30104454,IET Nanobiotechnol,10.1049/iet-nbt.2018.0006,PMC8675992
31935675,IET Nanobiotechnol,10.1049/iet-nbt.2019.0148,PMC8676440
35302741,ACS Nano,10.1021/acsnano.2c00199,PMC9836053
19238556,AAPS PharmSciTech,10.1208/s12249-009-9192-7,PMC2663682
34601826,Adv Healthc Mater,10.1002/adhm.202101427,PMC8976859
37031209,Sci Rep,10.1038/s41598-023-32545-0,PMC10082807
27241877,Sci Rep,10.1038/srep26895,PMC4886259
37061210,Int J Pharm,10.1016/j.ijpharm.2023.122960,PMC10101488
39469425,J Pharm Pharm Sci,10.3389/jpps.2024.13635,PMC11513329
23403891,Int J Nanomedicine,10.2147/IJN.S35661,PMC3569110
33328205,Eur J Hosp Pharm,10.1136/ejhpharm-2020-002534,PMC9614138
33800445,Molecules,10.3390/molecules26051469,PMC7962959
33256033,Molecules,10.3390/molecules25235544,PMC7730074
23971048,Biomed Res Int,10.1155/2013/909045,PMC3732638
39863692,Sci Rep,10.1038/s41598-025-87810-1,PMC11762320
40141417,Int J Mol Sci,10.3390/ijms26062776,PMC11942810
19224372,AAPS PharmSciTech,10.1208/s12249-009-9190-9,PMC2663680
27099474,Drug Des Devel Ther,10.2147/DDDT.S103169,PMC4821377
38334980,Biomater Sci,10.1039/d3bm01765f,PMC10965376
31557205,PLoS One,10.1371/journal.pone.0222858,PMC6762136
32455592,Molecules,10.3390/molecules25102390,PMC7287661
32192033,Molecules,10.3390/molecules25061357,PMC7144125
33852137,Reprod Sci,10.1007/s43032-021-00576-5,PMC8782813
34857863,Sci Rep,10.1038/s41598-021-02826-7,PMC8639917
32532323,BMC Res Notes,10.1186/s13104-020-05120-3,PMC7291466
34531497,Sci Rep,10.1038/s41598-021-98074-w,PMC8445958
29520477,Pharm Res,10.1007/s11095-018-2349-x,PMC6151135
25168449,AAPS PharmSciTech,10.1208/s12249-014-0199-3,PMC4309810
30591529,J Pharmacol Exp Ther,10.1124/jpet.118.254672,PMC6806630
21887603,AAPS PharmSciTech,10.1208/s12249-011-9680-4,PMC3225517
39244069,Int J Pharm,10.1016/j.ijpharm.2024.124661,PMC11601214
23838466,Hum Vaccin Immunother,10.4161/hv.25639,PMC3981847
30149641,Int J Mol Sci,10.3390/ijms19092521,PMC6163483
40572592,Molecules,10.3390/molecules30122629,PMC12195956
24222270,AAPS PharmSciTech,10.1208/s12249-013-0048-9,PMC3909165
37272488,Drug Deliv,10.1080/10717544.2023.2219864,PMC10243385
30296381,Mol Pharm,10.1021/acs.molpharmaceut.8b00802,PMC6330710
19184624,AAPS PharmSciTech,10.1208/s12249-009-9186-5,PMC2663676
26788510,Biomed Res Int,10.1155/2015/818656,PMC4695648
26741303,J Aerosol Med Pulm Drug Deliv,10.1089/jamp.2015.1235,PMC4894013
29890855,Drug Deliv,10.1080/10717544.2018.1474970,PMC6058528
32773247,J Vasc Interv Radiol,10.1016/j.jvir.2020.01.026,PMC7541531
18446484,AAPS PharmSciTech,10.1208/s12249-008-9036-x,PMC2976900
39841672,PLoS One,10.1371/journal.pone.0317899,PMC11753650
33753213,Eur J Pharm Biopharm,10.1016/j.ejpb.2021.03.007,PMC8096719
28534835,Molecules,10.3390/molecules22050836,PMC6154715
26391114,J Drug Target,10.3109/1061186X.2015.1087529,PMC5947949
25212898,AAPS PharmSciTech,10.1208/s12249-014-0214-8,PMC4309816
19340587,AAPS PharmSciTech,10.1208/s12249-009-9218-1,PMC2690781
24320221,Mol Pharm,10.1021/mp4005029,PMC4031264
39513340,Drug Deliv,10.1080/10717544.2024.2425158,PMC11552284
