PMID, Publisher, DOI
40611782, Mol Pharm, 10.1021/acs.molpharmaceut.4c01357
37578286, Mol Pharm, 10.1021/acs.molpharmaceut.3c00240
36843571, Drug Deliv, 10.1080/10717544.2023.2183834
36342775, Cannabis Cannabinoid Res, 10.1089/can.2022.0176
30104454, IET Nanobiotechnol, 10.1049/iet-nbt.2018.0006
31935675, IET Nanobiotechnol, 10.1049/iet-nbt.2019.0148
35302741, ACS Nano, 10.1021/acsnano.2c00199
23403891, Int J Nanomedicine, 10.2147/IJN.S35661
34601826, Adv Healthc Mater, 10.1002/adhm.202101427
20521179, AAPS PharmSciTech, 10.1208/s12249-010-9457-1
27099474, Drug Des Devel Ther, 10.2147/DDDT.S103169
23971048, Biomed Res Int, 10.1155/2013/909045
29468287, Cardiovasc Intervent Radiol, 10.1007/s00270-018-1899-y
33328205, Eur J Hosp Pharm, 10.1136/ejhpharm-2020-002534
30591529, J Pharmacol Exp Ther, 10.1124/jpet.118.254672
30296381, Mol Pharm, 10.1021/acs.molpharmaceut.8b00802
26788510, Biomed Res Int, 10.1155/2015/818656
25168449, AAPS PharmSciTech, 10.1208/s12249-014-0199-3
26741303, J Aerosol Med Pulm Drug Deliv, 10.1089/jamp.2015.1235
29520477, Pharm Res, 10.1007/s11095-018-2349-x
24320221, Mol Pharm, 10.1021/mp4005029
24222270, AAPS PharmSciTech, 10.1208/s12249-013-0048-9
26391114, J Drug Target, 10.3109/1061186X.2015.1087529
39513340, Drug Deliv, 10.1080/10717544.2024.2425158
25212898, AAPS PharmSciTech, 10.1208/s12249-014-0214-8
26083534, ACS Nano, 10.1021/acsnano.5b01696
23244299, Mol Pharm, 10.1021/mp300319m
23862723, J Microencapsul, 10.3109/02652048.2013.814728
32298275, PLoS One, 10.1371/journal.pone.0230993
36299245, Drug Deliv, 10.1080/10717544.2022.2136783
29500761, AAPS PharmSciTech, 10.1208/s12249-018-0973-8
23118537, Int J Nanomedicine, 10.2147/IJN.S36071
30785266, ACS Appl Mater Interfaces, 10.1021/acsami.9b00581
32031478, Pharm Dev Technol, 10.1080/10837450.2020.1725893
21246564, J Pharm Sci, 10.1002/jps.22488
21879393, AAPS PharmSciTech, 10.1208/s12249-011-9675-1
25114933, Biomed Res Int, 10.1155/2014/984756
24889733, AAPS PharmSciTech, 10.1208/s12249-014-0147-2
12916940, AAPS PharmSciTech, 10.1208/pt030325
31840214, Braz J Microbiol, 10.1007/s42770-019-00203-1
21547911, J Pharm Sci, 10.1002/jps.22475
24058284, ScientificWorldJournal, 10.1155/2013/153695
16594643, AAPS J, 10.1208/aapsj070488
21793213, Macromol Biosci, 10.1002/mabi.201100107
20490959, AAPS PharmSciTech, 10.1208/s12249-010-9445-5
22114474, Int J Nanomedicine, 10.2147/IJN.S23985
24297071, Pharm Res, 10.1007/s11095-013-1252-8
25367002, AAPS PharmSciTech, 10.1208/s12249-014-0238-0
12916956, AAPS PharmSciTech, 10.1208/pt030103
19936939, AAPS PharmSciTech, 10.1208/s12249-009-9331-1
23166436, Int J Nanomedicine, 10.2147/IJN.S37277
20414757, AAPS PharmSciTech, 10.1208/s12249-010-9426-8
23919086, Int J Nanomedicine, 10.2147/IJN.S43474
28850287, Nutr Clin Pract, 10.1177/0884533617722759
19710954, Mol Vis, No DOI
23882140, Int J Nanomedicine, 10.2147/IJN.S45186
23658485, Int J Nanomedicine, 10.2147/IJN.S41775
16517688, Appl Environ Microbiol, 10.1128/AEM.72.3.2280-2282.2006
22923993, Int J Nanomedicine, 10.2147/IJN.S33993
29768224, IET Nanobiotechnol, 10.1049/iet-nbt.2017.0189
26967650, J Vis Exp, 10.3791/53489
20845090, AAPS PharmSciTech, 10.1208/s12249-010-9507-8
22919267, Mol Vis, No DOI
20856831, Int J Nanomedicine, 10.2147/ijn.s12485
21614634, Pharm Res, 10.1007/s11095-011-0474-x
23600657, Drug Dev Ind Pharm, 10.3109/03639045.2012.763137
14727903, AAPS PharmSciTech, 10.1208/pt010317
23641156, Int J Nanomedicine, 10.2147/IJN.S43299
25580455, ScientificWorldJournal, 10.1155/2014/274823
40709743, J Cosmet Dermatol, 10.1111/jocd.70302
22275831, Int J Nanomedicine, 10.2147/IJN.S27639
21753875, Int J Nanomedicine, 10.2147/IJN.S20903
30361239, J Pharmacol Exp Ther, 10.1124/jpet.118.252809
25716330, AAPS PharmSciTech, 10.1208/s12249-015-0308-y
22072866, Int J Nanomedicine, 10.2147/IJN.S18039
25861680, ScientificWorldJournal, 10.1155/2015/541510
35047632, Biomed Res Int, 10.1155/2022/3549061
28530194, IET Nanobiotechnol, 10.1049/iet-nbt.2016.0116
23723698, Int J Nanomedicine, 10.2147/IJN.S43892
30534567, Biomed Res Int, 10.1155/2018/9035452
23690685, Int J Nanomedicine, 10.2147/IJN.S42002
24961388, J Pharm Sci, 10.1002/jps.24053
38941109, Ther Deliv, 10.1080/20415990.2024.2363635
28691021, Biomed Res Int, 10.1155/2017/2723418
36846914, Drug Deliv, 10.1080/10717544.2023.2184311
22114484, Int J Nanomedicine, 10.2147/IJN.S22335
18170981, AAPS J, 10.1208/aapsj0903041
40702891, J Agric Food Chem, 10.1021/acs.jafc.5c04690
31714057, ACS Nano, 10.1021/acsnano.9b07214
23984361, Biomed Res Int, 10.1155/2013/410686
36786136, Curr Drug Deliv, 10.2174/1567201820666230214091509
23326192, Int J Nanomedicine, 10.2147/IJN.S37338
24646020, Nanomedicine (Lond), 10.2217/nnm.14.4
19360857, J Pharm Sci, 10.1002/jps.21719
30095427, IET Nanobiotechnol, 10.1049/iet-nbt.2017.0104
29983563, Int J Nanomedicine, 10.2147/IJN.S159839
