"10.1002/jps.22475", "Redirecting",
"10.1111/j.2042-7158.2011.01376.x", "Title Not Found",
"10.1021/acsnano.5b01696", "Title Not Found",
"10.3109/02652048.2010.520093", "Full article: Development and characterization of nanoparticulate formulation of a water soluble prodrug of dexamethasone by HIP complexation",
"10.1080/10837450.2020.1725893", "Full article: Improving solubility and oral bioavailability of a novel antimalarial prodrug: comparing spray-dried dispersions with self-emulsifying drug delivery systems",
"10.1021/acsami.6b08153", "Gemcitabine and Antisense-microRNA Co-encapsulated PLGA–PEG Polymer Nanoparticles for Hepatocellular Carcinoma Therapy | ACS Applied Materials & Interfaces",
"10.1089/jamp.2009.0766", "Characterization of Stability and Nasal Delivery Systems for Immunization with Nanoemulsion-Based Vaccines | Journal of Aerosol Medicine and Pulmonary Drug Delivery",
"10.2217/nnm.14.4", "Formulation Design Facilitates Magnetic Nanoparticle Delivery to Diseased Cells and Tissues: Nanomedicine: Vol 9 , No 3  - Get Access",
"10.1049/iet-nbt.2018.5248", "Fabrication of poly(D, L-lactic acid) nanoparticles as delivery system for sustained release of L-theanine",
"10.1177/0884533617722759", "Home Parenteral Nutrition and Intravenous Fluid Errors Discovered Through Novel Clinical Practice of Reconciling Compounding Records: A Case Series",
"10.1002/jps.24053", "Redirecting",
"10.1128/AEM.72.3.2280-2282.2006", "Synbiotic Microcapsules That Enhance Microbial Viability during Nonrefrigerated Storage and Gastrointestinal Transit | Applied and Environmental Microbiology",
"10.1080/17435889.2024.2386923", "Gallic acid loaded self-nano emulsifying hydrogel-based drug delivery system against onychomycosis: Nanomedicine: Vol 19 , No 25  - Get Access",
"10.1002/mabi.201100107", "Poly(methyl malate) Nanoparticles: Formation, Degradation, and Encapsulation of Anticancer Drugs",
"10.1021/mp300319m", "Nanoassembly of Surfactants with Interfacial Drug-Interactive Motifs as Tailor-Designed Drug Carriers",
"10.3109/10837450.2012.737806", "Design and evaluation of a novel nanoparticulate-based formulation encapsulating a HIP complex of lysozyme",
"10.1128/aac.28.1.103", "Comparison of topically applied 5-ethyl-2'-deoxyuridine and acyclovir in the treatment of cutaneous herpes simplex virus infection in guinea pigs",
"10.1049/iet-nbt.2018.0006", "Efavirenz oral delivery via lipid nanocapsules: formulation, optimisation, and ex‐vivo gut permeation study",
"10.1002/jps.23450", "Development and Evaluation of a Novel Microemulsion Formulation of Elacridar to Improve its Bioavailability",
"10.1093/jbcr/irab118", "Dermal Nanoemulsion Treatment Reduces Burn Wound Conversion and Improves Skin Healing in a Porcine Model of Thermal Burn Injury",
"10.3748/wjg.v16.i27.3437", "Transcatheter arterial chemoembolization with a fine-powder formulation of cisplatin for hepatocellular carcinoma",
"10.1089/can.2022.0176", "Application of Oil-in-Water Cannabidiol Emulsion for the Treatment of Rheumatoid Arthritis",
"10.1002/adhm.202101427", "Initial Formation of the Skin Layer of PLGA Microparticles",
"10.1021/bm4015232", "Gelation Chemistries for the Encapsulation of Nanoparticles in Composite Gel Microparticles for Lung Imaging and Drug Delivery",
"10.1002/jps.21719", "Silicone Oil- and Agitation-Induced Aggregation of a Monoclonal Antibody in Aqueous Solution",
"10.1089/jamp.2015.1235", "Effects of Emulsion Composition on Pulmonary Tobramycin Delivery During Antibacterial Perfluorocarbon Ventilation",
